Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
0.97,4953,NaN,1,0
2.54,4953,3.27,1,1009
3.59,4953,5.75,1,1009
4.38,4953,8.95,1,1009
4.96,4953,12.37,1,1009
5.61,4953,15.53,1,1009
6.28,4953,19.01,1,1009
6.96,4953,22.19,1,1009
7.49,4953,25.66,1,1009
7.99,4953,29.13,1,1009
8.48,4953,32.84,1,1009
9.24,4953,36.05,1,1009
9.84,4953,39.51,1,1009
10.60,4953,42.72,1,1009
11.14,4953,46.20,1,1009
11.69,4953,49.67,1,1009
12.36,4953,52.87,1,1009
13.12,4953,56.07,1,1009
14.46,4953,58.73,1,1009
65.86,3134,11.46,1,1009
