Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
0.52,4953,NaN,1,0
1.19,4953,3.49,1,567
1.92,4953,7.22,1,567
2.43,4953,10.44,1,567
3.20,4953,13.65,1,567
3.73,4953,17.15,1,567
4.33,4953,20.33,1,567
4.89,4953,23.80,1,567
5.39,4953,27.54,1,567
6.45,4953,30.43,1,567
6.98,4953,33.68,1,567
8.04,4953,36.80,1,567
9.02,4953,39.63,1,567
9.70,4953,43.05,1,567
10.34,4953,46.80,1,567
10.90,4953,49.97,1,567
11.50,4953,53.33,1,567
12.10,4953,56.79,1,567
13.55,4953,59.15,1,567
66.08,4953,10.71,1,567
69.44,4953,11.38,1,567
