Relative_Time_sec,Bitrate_kbps,Buffer_sec,Rebuffer_Events,Play_Delay_ms
0.53,4953,NaN,1,0
1.07,4953,3.74,1,550
3.04,4953,5.81,1,550
5.08,4953,7.70,1,550
7.33,4953,9.56,1,550
8.97,4953,11.67,1,550
11.42,4953,13.41,1,550
13.63,4953,15.01,1,550
15.70,4953,17.35,1,550
17.84,4953,18.91,1,550
19.55,4953,21.25,1,550
21.70,4953,23.07,1,550
23.82,4953,24.87,1,550
26.59,4953,26.29,1,550
28.77,4953,27.91,1,550
30.49,4953,30.33,1,550
32.64,4953,32.20,1,550
35.15,4953,33.54,1,550
37.50,4953,35.24,1,550
40.55,4953,36.50,1,550
